tournaments.RoundRobinTournament
AIs
	WorkerDefense(AStarPathFinding)
	RandomBiasedAI
	MLPSMCTS(100, -1, 100, 10, 0.05, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	InformedNaiveMCTS(100, -1, 100, 10, 0.3, 1.0, 0.0, 1.0, 0.4, 1.0, UnitActionProbabilityDistributionAI(ActionInterdependenceModel-Acc-WR), AIM-WR, SimpleSqrtEvaluationFunction3)
	SCV
maps
	/Users/mukesh/Desktop/MicroRTS-LLM/maps/basesWorkers32x32A.xml
iterations	10
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	3000	-1	-1	-1
0	0	0	2	106	0	-1	1
0	0	0	3	85	0	-1	1
0	0	0	4	3000	-1	-1	-1
0	0	1	0	2575	1	-1	-1
0	0	1	2	14	0	-1	1
0	0	1	3	14	0	-1	1
0	0	1	4	2350	1	-1	-1
0	0	2	0	12	1	-1	0
0	0	2	1	6	1	-1	0
0	0	2	3	3	1	-1	0
0	0	2	4	44	1	-1	0
0	0	3	0	4	1	-1	0
0	0	3	1	19	1	-1	0
0	0	3	2	7	0	-1	1
0	0	3	4	116	1	-1	0
0	0	4	0	3000	-1	-1	-1
0	0	4	1	2385	0	-1	-1
0	0	4	2	10	0	-1	1
0	0	4	3	18	0	-1	1
1	0	0	1	1765	0	-1	-1
1	0	0	2	18	0	-1	1
1	0	0	3	6	0	-1	1
1	0	0	4	3000	-1	-1	-1
1	0	1	0	2885	1	-1	-1
1	0	1	2	2	0	-1	1
1	0	1	3	14	0	-1	1
1	0	1	4	2595	1	-1	-1
1	0	2	0	6	1	-1	0
1	0	2	1	41	1	-1	0
1	0	2	3	38	0	-1	1
1	0	2	4	3	1	-1	0
1	0	3	0	9	1	-1	0
1	0	3	1	1721	1	-1	0
1	0	3	2	1	0	-1	1
1	0	3	4	453	1	-1	0
1	0	4	0	3000	-1	-1	-1
1	0	4	1	2850	0	-1	-1
1	0	4	2	170	0	-1	1
1	0	4	3	475	0	-1	1
2	0	0	1	2955	0	-1	-1
2	0	0	2	5	0	-1	1
2	0	0	3	86	0	-1	1
2	0	0	4	3000	-1	-1	-1
2	0	1	0	3000	-1	-1	-1
2	0	1	2	10	0	-1	1
2	0	1	3	8	0	-1	1
2	0	1	4	3000	-1	-1	-1
2	0	2	0	39	1	-1	0
2	0	2	1	15	1	-1	0
2	0	2	3	44	1	-1	0
2	0	2	4	45	1	-1	0
2	0	3	0	4	1	-1	0
2	0	3	1	31	1	-1	0
2	0	3	2	18	1	-1	0
2	0	3	4	1537	1	-1	0
2	0	4	0	3000	-1	-1	-1
2	0	4	1	3000	-1	-1	-1
2	0	4	2	42	0	-1	1
2	0	4	3	10	0	-1	1
3	0	0	1	3000	-1	-1	-1
3	0	0	2	119	0	-1	1
3	0	0	3	2	0	-1	1
3	0	0	4	3000	-1	-1	-1
3	0	1	0	3000	-1	-1	-1
3	0	1	2	18	0	-1	1
3	0	1	3	873	0	-1	1
3	0	1	4	2615	1	-1	-1
3	0	2	0	48	1	-1	0
3	0	2	1	49	1	-1	0
3	0	2	3	69	0	-1	1
3	0	2	4	84	1	-1	0
3	0	3	0	3000	-1	-1	-1
3	0	3	1	1600	0	-1	-1
3	0	3	2	462	1	-1	0
3	0	3	4	88	1	-1	0
3	0	4	0	3000	-1	-1	-1
3	0	4	1	3000	-1	-1	-1
3	0	4	2	6	0	-1	1
3	0	4	3	11	0	-1	1
4	0	0	1	3000	-1	-1	-1
4	0	0	2	9	0	-1	1
4	0	0	3	10	0	-1	1
4	0	0	4	3000	-1	-1	-1
4	0	1	0	2270	1	-1	-1
4	0	1	2	18	0	-1	1
4	0	1	3	286	0	-1	1
4	0	1	4	2480	1	-1	-1
4	0	2	0	17	1	-1	0
4	0	2	1	46	1	-1	0
4	0	2	3	13	0	-1	1
4	0	2	4	8	1	-1	0
4	0	3	0	565	1	-1	0
4	0	3	1	16	1	-1	0
4	0	3	2	47	1	-1	0
4	0	3	4	400	1	-1	0
4	0	4	0	3000	-1	-1	-1
4	0	4	1	2385	0	-1	-1
4	0	4	2	594	0	-1	1
4	0	4	3	1084	0	-1	1
5	0	0	1	3000	-1	-1	-1
5	0	0	2	42	0	-1	1
5	0	0	3	421	0	-1	1
5	0	0	4	3000	-1	-1	-1
5	0	1	0	3000	-1	-1	-1
5	0	1	2	474	0	-1	1
5	0	1	3	70	0	-1	1
5	0	1	4	2505	1	-1	-1
